순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
409,2017,벤딩 디 아크: 세상을 바꾸는 힘,"키프 데이비슨,페드로 코스",,CGV아트하우스,CGV아트하우스,2017-11-09,미국,45,24142600,3472,다큐멘터리,전체관람가,독립/예술영화
411,2017,벨과 세바스찬 계속되는 모험,크리스찬 두가이,,썬택엔터테인먼트 주식회사,C 무비,2017-08-10,프랑스,38,26194300,3450,드라마,전체관람가,독립/예술영화
413,2017,"무현, 두 도시 이야기 : 파이널 컷",전인환,엠앤씨에프,,㈜인디스토리,2017-08-30,한국,103,24499000,3431,다큐멘터리,15세이상관람가,독립/예술영화
414,2017,인생을 애니메이션처럼,로저 로스 윌리엄스,,판씨네마(주),판씨네마(주),2017-09-27,미국,49,24952800,3372,다큐멘터리,전체관람가,독립/예술영화
415,2017,투 러버스 앤 베어,킴 누옌,,"(주)팝엔터테인먼트,주식회사 풍경소리",(주)팝엔터테인먼트,2017-03-30,캐나다,73,26655200,3364,드라마,청소년관람불가,독립/예술영화
420,2017,가을 우체국,임왕태,"BPM 엔터테인먼트,동아방송예술대학교산학협력단,HATCH FILM ,(주)미디어테라스",,(주)에스와이코마드,2017-10-19,한국,74,23270700,3099,멜로/로맨스,12세이상관람가,독립/예술영화
423,2017,나인스 라이프,알렉산더 아야,,(주)시네마엔터,(주)라이크콘텐츠,2017-09-07,영국,74,22545500,2964,미스터리,15세이상관람가,일반영화
426,2017,메리 크리스마스 미스터 모,임대형,영화사 달리기,,㈜인디스토리,2017-12-14,한국,31,19470800,2820,코미디,12세이상관람가,독립/예술영화
427,2017,파리 투 마르세유: 2주간의 여행,라시드 드자이다니,,(주)브리즈픽처스,"(주)디스테이션,(주)브리즈픽처스",2017-09-07,프랑스,33,20947500,2792,드라마,12세이상관람가,독립/예술영화
428,2017,쇼콜라,로쉬디 젬,,판씨네마(주),판씨네마(주),2017-03-09,프랑스,52,20408000,2757,드라마,12세이상관람가,독립/예술영화
432,2017,내 아내와 결혼해 주세요,미야케 요시시게,,(주)미디어캐슬,(주)스마일이엔티,2017-05-18,일본,49,20128000,2600,멜로/로맨스,전체관람가,독립/예술영화
434,2017,미스테리어스 스킨,그렉 아라키,,찬란,찬란,2017-11-23,미국,33,19400558,2555,드라마,청소년관람불가,독립/예술영화
436,2017,아기와 나,손태겸,한국영화아카데미,,CGV아트하우스,2017-11-23,한국,62,17949800,2356,드라마,15세이상관람가,독립/예술영화
438,2017,다른 길이 있다,조창호,영화사 몸,,"무브먼트,영화사 몸",2017-01-19,한국,30,17281700,2305,드라마,15세이상관람가,독립/예술영화
440,2017,치어 댄스,카와이 하야토,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-09-21,일본,64,16060500,2186,코미디,전체관람가,독립/예술영화
441,2017,다이노 어드벤처: 먹이사슬의 제왕,나이젤 패터슨,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2017-04-27,영국,37,14319500,2168,애니메이션,전체관람가,독립/예술영화
443,2017,시칠리아 햇빛아래,린 유쉰,,(유)조이앤시네마,(주)드림팩트엔터테인먼트,2017-06-28,홍콩,63,15523900,2139,멜로/로맨스,12세이상관람가,독립/예술영화
444,2017,히든 아이덴티티,브래드 앤더슨,,(유)조이앤시네마,(주)드림팩트엔터테인먼트,2017-10-12,미국,35,15610000,2134,미스터리,15세이상관람가,독립/예술영화
446,2017,여자들,이상덕,콧수염필름즈,,㈜인디스토리,2017-08-03,한국,40,15376800,2129,드라마,15세이상관람가,독립/예술영화
448,2017,뮤지엄,오오토모 케이시,,주식회사 더쿱,주식회사 더쿱,2017-05-18,일본,65,16312000,2056,범죄,청소년관람불가,독립/예술영화
450,2017,땡큐 포 유어 서비스,제이슨 홀,,(주)씨제이이엔엠,(주)씨제이이엔엠,2017-12-07,미국,72,14249000,1965,드라마,15세이상관람가,일반영화
457,2017,트레이터,수잔나 화이트,,(유)조이앤시네마,아이 엠,2017-08-03,영국,33,14026500,1850,범죄,15세이상관람가,독립/예술영화
460,2017,개에게 처음 이름을 지어준 날,야마다 아카네,,(주)퍼스트런,"(주)퍼스트런,글뫼 주식회사",2017-04-06,일본,53,13226000,1828,드라마,전체관람가,독립/예술영화
461,2017,100미터,마르셀 바레나,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2017-07-20,스페인,41,12841500,1770,코미디,15세이상관람가,독립/예술영화
463,2017,모놀리스,이반 실베스트리니,,(주)영화공간,이언픽쳐스,2017-04-20,이탈리아,62,13327600,1732,드라마,12세이상관람가,독립/예술영화
467,2017,오버드라이브,안토니오 니그렛,,루지,(주)영화사오원,2017-12-14,프랑스,62,12853100,1675,액션,15세이상관람가,독립/예술영화
468,2017,일주일간 친구,무라카미 쇼스케,,위드 라이언 픽쳐스,노바엔터테인먼트,2017-12-28,일본,30,12656800,1651,멜로/로맨스,12세이상관람가,독립/예술영화
