순번,순서,영화이름,관람객평점,댓글
51,3,형,5.0,기대 안하고 봤는데 배꼽빠지게 웃고 눈물콧물 쏙빼고왔네여가족친구들과 가볍게 보기 좋아요
51,4,형,5.0,진짜 두 분 다 연기 너무 잘했고 경수야 수고했어 조정석님도 수고하셨습니다! 처음부터 계속 재미있다가 마지막에 진짜 너무 펑펑 울었네요 형 대박나자!
51,5,형,5.0,울다 웃다 울다 웃다 무한반복했네요. 도경수가 생각보다 연기 잘해서 놀랐어요!! 조정석은 뭐.. 완전 킹왕짱!!! 꺄우.
51,6,형,4.5,아이돌 출신 배우라고 말하지 않으면 모를만큼 굉장한 도경수의 연기력과 경력있는 배우 조정석의 눈물나는 연기.. 진짜 5번의 고비ㅜㅜ 황홀했다
51,7,형,5.0,간만에 개꿀잼 영화!! 조정석은 완전 납득이의 귀환ㅋㅋ왤케웃곀ㅋ
51,8,형,5.0,악 두배우 넘나 사랑스러움 진짜 ㅋㅋ 웃다가 울다가 아주그냥 ㅠㅠ 넘나 재밌었어용
51,9,형,5.0,개꿀잼 진짜 큰일납니다
51,10,형,5.0,"뻔한신파라는거 알고 울지않으려고 갔는데도, 눈물이 나오네내용 다 뻔한거 알면서도 몰입하게 만드는 두 사람의 연기력,살아있는 연기를 하는 두 배우에게 기립박수라도 보내고 싶다"
51,11,형,5.0,개인적으로 럭키보다 잼잇음 ... 아 슬퍼
51,12,형,4.5,"엄마랑 보러갔는데, 넘 감동적이고 재밌었어요~~!조정석씨 능청스러운 연기 그리고 아이돌인데연기도잘하는 디오덕분에 눈도 즐거웠네요"
51,13,형,5.0,엄마랑 즐거운 데이트 했습니다~ 솔직히 스토리는 조금 뻔하지만 배우들 연기 흠잡을 곳 없이 너무 좋아서 웃고 울면서 봤어요!! 조정석 도경수 박신혜 짱!! 여러분 형 보세요~~~
51,14,형,5.0,정말 감동적이고 이 세상에 태어난 걸 그리고 건강하다는것을 한번 더 크게 감사함을 느끼고 더 소중해진것 겉아요 앞으로 더 열심히 살 수 있을것 같아요 이 영화에게 정말 감사합니다 배우분들도 연기짱ㅠㅠ 스토리도 짱10...
51,15,형,4.5,웃기고 슬프고 재밌어요
51,16,형,5.0,처음 시작과 동시에 끝날 때 까지 눈물 마를 시간이 없었어요 중간중간에 관객분들과 다 같이 빵 터지는 장면도 많았고. 확실히 좋은 배우들이 호흡 맞춰 찍은만큼 좋은 결과가 나온거같아요 보는내내 유쾌하고 슬펐어요. 좋...
51,17,형,5.0,이정도면 연기의 신 조정석!! 웃고 울린 최고의 영화ㅠ
51,18,형,5.0,웃기고 슬픈 재미있는 영화이고 배우들이 너무 잘 어울려서 좋았어요
51,19,형,4.0,클럽에서.. 감사합니닼ㅋㅋㅋㅋ
51,20,형,5.0,욕은 좀 거슬렸지만..뭐뭐..넘 웃기고 감동도  주고...가족이 힘이구나를 정말 다시 느낀 영화예요..거슬린다.뭐하다라는 평을 보고가서 걱정을 했는데저는 개인적으로 모두모두 넘 좋았어요..마지막 엔딩 ost까지.굿!...
51,21,형,4.0,같이간 사람들 모두 즐겁게 관람했네요
51,22,형,5.0,ㅋ 웃다가웃다가..  울다웃다울다웃다  마지막 짧은웃음으로 끝난영화..  역시 조정석하며 보고..  디오 별로 안좋아했는데 ㅋ 쫌 괜찮아짐
51,23,형,4.5,연기 진짜 다 잘하는듯 마냥 웃는 영화일줄 알았는데 숨겨진 감동이 있어서 더 좋았던 영화
51,24,형,5.0,재미와 감동 둘다 있는 좋은 영화였습니다!형제 캐미도 너무 좋고 여운도 많이남네요...!
51,25,형,4.0,조정석의연기는역시  대단했다 많이웃었고울었고 재밓엇다
