,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
226,227,2014,60만번의 트라이,"박사유,박돈사",㈜인디스토리,2014-09-18,한국,76,136608300,19919,다큐멘터리,12세이상관람가,독립/예술영화
227,228,2014,밀리언 웨이즈,세스 맥팔레인,유니버설픽쳐스인터내셔널 코리아(유),2014-06-12,미국,194,134249300,17373,코미디,청소년관람불가,일반영화
228,229,2014,캡틴 하록,아라마키 신지,(주)박수엔터테인먼트,2014-01-16,일본,120,134005500,17977,애니메이션,12세이상관람가,일반영화
229,230,2014,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,방형우,메가박스중앙(주)플러스엠,2014-08-07,한국,91,133926800,20175,애니메이션,전체관람가,일반영화
230,231,2014,더 테너 리리코 스핀토,김상만,"(주)박수엔터테인먼트,(주)모인그룹",2014-12-31,한국,185,131364200,17870,드라마,12세이상관람가,독립/예술영화
231,232,2014,본타: 땅콩왕국의 전설,레오 리,(주)팝엔터테인먼트,2014-10-30,중국,179,127508200,18022,애니메이션,전체관람가,일반영화
232,233,2014,가구야공주 이야기,다카하타 이사오,롯데쇼핑㈜롯데엔터테인먼트,2014-06-04,일본,77,125582300,16439,애니메이션,전체관람가,일반영화
233,234,2014,산타바바라,조성규,(주)나이너스엔터테인먼트,2014-07-16,한국,101,125565919,16626,멜로/로맨스,15세이상관람가,독립/예술영화
234,235,2014,비포 : 치즈와 초콜릿을 찾아서,이도 엔젤,(주)영화사 빅,2014-07-10,이스라엘,90,123727000,18310,애니메이션,전체관람가,독립/예술영화
235,236,2014,오드토머스,스티븐 소머즈,(주)영화사 빅,2014-08-27,미국,165,123233800,16555,액션,15세이상관람가,일반영화
236,237,2014,프라이버시,존 크로울리,(주)인벤트스톤,2014-03-20,영국,165,122664928,16936,범죄,15세이상관람가,일반영화
237,238,2014,스페이스 독 2,"이나 예블라니코바,알렉산더 크람초프,바딤 소츠코프",(주)지어소프트,2014-12-11,러시아,108,121383600,19445,애니메이션,전체관람가,일반영화
238,239,2014,엘리아스: 바다의 보물을 찾아라!,리스 오스볼,(주)마인스 엔터테인먼트,2014-10-23,노르웨이,199,119762600,17305,애니메이션,전체관람가,일반영화
239,240,2014,웨스턴 리벤지,크리스티안 레브링,(주)영화사 빅,2014-10-30,덴마크,117,119414000,15671,액션,청소년관람불가,독립/예술영화
240,241,2014,이디야와 얼음왕국의 전설,낸시 플로렌스 사바드,(주)미디어데이,2014-02-27,캐나다,136,119383200,18157,애니메이션,전체관람가,독립/예술영화
241,242,2014,누구에게나 찬란한,임유철,CGV아트하우스,2014-11-06,한국,51,119149400,17667,다큐멘터리,전체관람가,독립/예술영화
242,243,2014,스톤,조세래,씨너스엔터테인먼트(주),2014-06-12,한국,148,118376400,17631,액션,15세이상관람가,독립/예술영화
243,244,2014,호비와 쿠우의 어드벤처 : 고래의 노래,히라바야시 이사무,"(주)머스트씨무비,(주)머스트씨무비릴리징컴퍼니",2014-06-12,일본,54,113444000,17018,애니메이션,전체관람가,독립/예술영화
244,245,2014,버진 스노우,그렉 아라키,(주)영화사오원,2014-12-10,프랑스,126,111276354,14764,미스터리,청소년관람불가,독립/예술영화
245,246,2014,토마스와 친구들: 잃어버린 왕관,롭 실베스트리,(주)씨제이이엔엠,2014-11-13,영국,110,110482700,15202,애니메이션,전체관람가,일반영화
246,247,2014,테레즈 라캥,찰리 스트레이턴,판씨네마(주),2014-07-10,미국,48,106422700,14063,범죄,청소년관람불가,독립/예술영화
247,248,2014,로코왕국의 전설: 엘프킹을 찾아서,위성준,"(주)마인스 엔터테인먼트,(유)영화사 화수분",2014-06-26,중국,178,105367100,15846,애니메이션,전체관람가,독립/예술영화
248,249,2014,피노키오의 모험,안나 저스티스,(주)소나무픽쳐스,2014-09-18,독일,54,105233300,14557,애니메이션,전체관람가,일반영화
